Group Stage,Sevilla,FC Red Bull Salzburg
Group Stage,Young Boys,Manchester United
Group Stage,Barcelona,FC Bayern München
Group Stage,Chelsea,Zenit St Petersburg
Group Stage,Dynamo Kyiv,Benfica
Group Stage,Lille,VfL Wolfsburg
Group Stage,Malmö FF,Juventus
Group Stage,Villarreal,Atalanta
Group Stage,Besiktas,Borussia Dortmund
Group Stage,Sheriff Tiraspol,Shakhtar Donetsk
Group Stage,Atlético de Madrid,FC Porto
Group Stage,Club Brugge,Paris Saint-Germain
Group Stage,Internazionale,Real Madrid
Group Stage,Liverpool,Milan
Group Stage,Manchester City,RB Leipzig
Group Stage,Sporting CP,Ajax
Group Stage,Ajax,Besiktas
Group Stage,Shakhtar Donetsk,Internazionale
Group Stage,Borussia Dortmund,Sporting CP
Group Stage,FC Porto,Liverpool
Group Stage,Milan,Atlético de Madrid
Group Stage,Paris Saint-Germain,Manchester City
Group Stage,RB Leipzig,Club Brugge
Group Stage,Real Madrid,Sheriff Tiraspol
Group Stage,Atalanta,Young Boys
Group Stage,Zenit St Petersburg,Malmö FF
Group Stage,Benfica,Barcelona
Group Stage,FC Bayern München,Dynamo Kyiv
Group Stage,FC Red Bull Salzburg,Lille
Group Stage,Juventus,Chelsea
Group Stage,Manchester United,Villarreal
Group Stage,VfL Wolfsburg,Sevilla
Group Stage,Besiktas,Sporting CP
Group Stage,Club Brugge,Manchester City
Group Stage,Ajax,Borussia Dortmund
Group Stage,Atlético de Madrid,Liverpool
Group Stage,FC Porto,Milan
Group Stage,Internazionale,Sheriff Tiraspol
Group Stage,Paris Saint-Germain,RB Leipzig
Group Stage,Shakhtar Donetsk,Real Madrid
Group Stage,Barcelona,Dynamo Kyiv
Group Stage,FC Red Bull Salzburg,VfL Wolfsburg
Group Stage,Benfica,FC Bayern München
Group Stage,Chelsea,Malmö FF
Group Stage,Lille,Sevilla
Group Stage,Manchester United,Atalanta
Group Stage,Young Boys,Villarreal
Group Stage,Zenit St Petersburg,Juventus
Group Stage,Malmö FF,Chelsea
Group Stage,VfL Wolfsburg,FC Red Bull Salzburg
Group Stage,Atalanta,Manchester United
Group Stage,Dynamo Kyiv,Barcelona
Group Stage,FC Bayern München,Benfica
Group Stage,Juventus,Zenit St Petersburg
Group Stage,Sevilla,Lille
Group Stage,Villarreal,Young Boys
Group Stage,Milan,FC Porto
Group Stage,Real Madrid,Shakhtar Donetsk
Group Stage,Borussia Dortmund,Ajax
Group Stage,Liverpool,Atlético de Madrid
Group Stage,Manchester City,Club Brugge
Group Stage,RB Leipzig,Paris Saint-Germain
Group Stage,Sheriff Tiraspol,Internazionale
Group Stage,Sporting CP,Besiktas
Group Stage,Dynamo Kyiv,FC Bayern München
Group Stage,Villarreal,Manchester United
Group Stage,Barcelona,Benfica
Group Stage,Chelsea,Juventus
Group Stage,Lille,FC Red Bull Salzburg
Group Stage,Malmö FF,Zenit St Petersburg
Group Stage,Sevilla,VfL Wolfsburg
Group Stage,Young Boys,Atalanta
Group Stage,Besiktas,Ajax
Group Stage,Internazionale,Shakhtar Donetsk
Group Stage,Atlético de Madrid,Milan
Group Stage,Club Brugge,RB Leipzig
Group Stage,Liverpool,FC Porto
Group Stage,Manchester City,Paris Saint-Germain
Group Stage,Sheriff Tiraspol,Real Madrid
Group Stage,Sporting CP,Borussia Dortmund
Group Stage,Paris Saint-Germain,Club Brugge
Group Stage,RB Leipzig,Manchester City
Group Stage,Ajax,Sporting CP
Group Stage,Borussia Dortmund,Besiktas
Group Stage,FC Porto,Atlético de Madrid
Group Stage,Milan,Liverpool
Group Stage,Real Madrid,Internazionale
Group Stage,Shakhtar Donetsk,Sheriff Tiraspol
Group Stage,Juventus,Malmö FF
Group Stage,Zenit St Petersburg,Chelsea
Group Stage,Benfica,Dynamo Kyiv
Group Stage,FC Bayern München,Barcelona
Group Stage,FC Red Bull Salzburg,Sevilla
Group Stage,Manchester United,Young Boys
Group Stage,VfL Wolfsburg,Lille
Group Stage,Atalanta,Villarreal
Round of 16,,
Round of 16,,
Round of 16,,
Round of 16,,
Round of 16,,
Round of 16,,
Round of 16,,
Round of 16,,
Round of 16,,
Round of 16,,
Round of 16,,
Round of 16,,
Round of 16,,
Round of 16,,
Round of 16,,
Round of 16,,
Quarter-Finals,,
Quarter-Finals,,
Quarter-Finals,,
Quarter-Finals,,
Quarter-Finals,,
Quarter-Finals,,
Quarter-Finals,,
Quarter-Finals,,
Semi-Finals,,
Semi-Finals,,
Semi-Finals,,
Semi-Finals,,
Final,,
Final,,
Winner,,
